plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png
tan20250506t045043c00s4001-A,17.36187105730221,95.73856472045634,2025-05-06T04:50:43+00,,CH4,mfa,"[95.72439590534208, 17.348447344825008, 95.7572224098383, 17.379507793461574]",tan,production,2025-06-05 05:20:43.844961+00:00,2025-06-05 05:20:43.843339+00:00,v3,3.17.0,35.527419264975926,standard_sensitivity,29.84248547213384,421.9764614806456,48.676930975859,1.8055555555555556,0.0988618356669565,331.92182397950825,23.13016649662602,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-A/tan20250506t045043c00s4001-A_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-A/tan20250506t045043c00s4001-A_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-A/tan20250506t045043c00s4001-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-A/tan20250506t045043c00s4001-A_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-A/tan20250506t045043c00s4001-A_l3a-vis-ch4-mfa-v3_rgb.png
tan20250506t045043c00s4001-B,16.963777299348877,95.64478177941174,2025-05-06T04:50:43+00,Oil & Gas (1B2),CH4,mfa,"[95.63471558761726, 16.95136667166068, 95.66662745658955, 16.982159664465083]",tan,production,2025-06-05 05:20:43.725058+00:00,2025-06-05 05:20:43.723329+00:00,v3,3.16.0,35.527419264975926,standard_sensitivity,29.84248547213384,817.6928472187783,218.4469718137732,3.1481481481481475,0.5123642715650712,308.3338037204484,2.3572719421051045,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-B/tan20250506t045043c00s4001-B_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-B/tan20250506t045043c00s4001-B_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-B/tan20250506t045043c00s4001-B_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-B/tan20250506t045043c00s4001-B_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/05/06/tan20250506t045043c00s4001-B/tan20250506t045043c00s4001-B_l3a-vis-ch4-mfa-v3_rgb.png
tan20250422t044821c00s4001-A,16.920865166212963,96.1856479204392,2025-04-22T04:48:21+00,Solid Waste (6A),CH4,mfa,"[96.17122876839419, 16.905599097133855, 96.20340480398937, 16.93638213581]",tan,production,2025-05-22 05:20:24.111258+00:00,2025-05-22 05:20:24.109667+00:00,v3,3.12.0,34.32832669885271,maximum_sensitivity,19.695067174065663,259.8509525968915,79.62843606714718,2.111111111111111,0.2749859704614351,253.3445800071615,9.479591009816938,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-A/tan20250422t044821c00s4001-A_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-A/tan20250422t044821c00s4001-A_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-A/tan20250422t044821c00s4001-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-A/tan20250422t044821c00s4001-A_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-A/tan20250422t044821c00s4001-A_l3a-vis-ch4-mfa-v3_rgb.png
tan20250422t044821c00s4001-B,16.91896527339788,96.1853947228048,2025-04-22T04:48:21+00,Solid Waste (6A),CH4,mfa,"[96.17038366929006, 16.905320467800127, 96.20312515838712, 16.936374468811955]",tan,production,2025-05-22 05:20:24.437466+00:00,2025-05-22 05:20:24.436135+00:00,v3,3.12.0,34.32832669885271,maximum_sensitivity,19.695067174065663,173.1492028208006,65.96936748138108,2.111111111111111,0.2749859704614351,253.3445800071615,9.479591009816938,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-B/tan20250422t044821c00s4001-B_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-B/tan20250422t044821c00s4001-B_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-B/tan20250422t044821c00s4001-B_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-B/tan20250422t044821c00s4001-B_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/04/22/tan20250422t044821c00s4001-B/tan20250422t044821c00s4001-B_l3a-vis-ch4-mfa-v3_rgb.png
emi20250213t082615p06026-A,16.89466127244934,96.02452678169476,2025-02-13T08:26:15+00,Solid Waste (6A),CH4,mfa,"[95.99342550459762, 16.864452147820593, 96.05727638916105, 16.925547157781292]",emi,production,2025-05-30 13:09:27.717482+00:00,2025-05-30 13:09:27.773258+00:00,v3,3.6.3,,,,914.2227231453307,462.1241999679385,1.212962962962963,0.5378346567206521,219.68758917972843,21.83401260651999,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-A/emi20250213t082615p06026-A_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-A/emi20250213t082615p06026-A_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-A/emi20250213t082615p06026-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-A/emi20250213t082615p06026-A_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-A/emi20250213t082615p06026-A_l3a-vis-ch4-mfa-v3_rgb.png
emi20250213t082615p06026-B,16.91685991893739,96.18648879998808,2025-02-13T08:26:15+00,Solid Waste (6A),CH4,mfa,"[96.1580055125404, 16.892873482341514, 96.22187681924632, 16.95451007982585]",emi,production,2025-05-30 13:09:34.640882+00:00,2025-05-30 13:09:34.701684+00:00,v3,3.6.3,,,,,,0.7777777777777777,0.1800205749557739,296.0081754066182,7.491314510665296,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-B/emi20250213t082615p06026-B_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-B/emi20250213t082615p06026-B_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-B/emi20250213t082615p06026-B_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-B/emi20250213t082615p06026-B_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/02/13/emi20250213t082615p06026-B/emi20250213t082615p06026-B_l3a-vis-ch4-mfa-v3_rgb.png
emi20250125t055258p04011-A,16.89514610623229,96.0245254167437,2025-01-25T05:52:58+00,Solid Waste (6A),CH4,mfa,"[95.99282669030929, 16.867731016908024, 96.05647215412358, 16.928628445622362]",emi,production,2025-05-30 13:09:27.717482+00:00,2025-05-30 13:09:27.925152+00:00,v3,3.6.3,,,,670.8790216746484,291.0236549373874,1.1851851851851851,0.0692899516069247,223.24094572779015,14.108636285404366,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-A/emi20250125t055258p04011-A_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-A/emi20250125t055258p04011-A_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-A/emi20250125t055258p04011-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-A/emi20250125t055258p04011-A_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-A/emi20250125t055258p04011-A_l3a-vis-ch4-mfa-v3_rgb.png
emi20250125t055258p04011-B,16.91857618431102,96.18495268923972,2025-01-25T05:52:58+00,Solid Waste (6A),CH4,mfa,"[96.15368334942698, 16.888045936886883, 96.21790181968882, 16.949484920534186]",emi,production,2025-05-30 13:09:34.640882+00:00,2025-05-30 13:09:34.773276+00:00,v3,3.6.3,,,,624.009512405634,187.7276578426633,0.9629629629629628,0.0346449758034624,220.04371766880195,20.698816307049658,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-B/emi20250125t055258p04011-B_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-B/emi20250125t055258p04011-B_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-B/emi20250125t055258p04011-B_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-B/emi20250125t055258p04011-B_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2025/01/25/emi20250125t055258p04011-B/emi20250125t055258p04011-B_l3a-vis-ch4-mfa-v3_rgb.png
tan20241231t042918c00s4001-A,16.894687556598114,96.02434489324452,2024-12-31T04:29:18+00,Solid Waste (6A),CH4,mfa,"[95.99639354923102, 16.859718609778678, 96.04182773541886, 16.903464935318233]",tan,first_light,2025-03-10 18:29:37.402533+00:00,2025-03-25 22:32:07.904169+00:00,v3,3.0.1,36.78767302723298,standard_sensitivity,1.7258066954131883,,,1.0833333333333333,0.0392837100659192,27.332990578132694,3.6827379101820776,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/12/31/tan20241231t042918c00s4001-A/tan20241231t042918c00s4001-A_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/12/31/tan20241231t042918c00s4001-A/tan20241231t042918c00s4001-A_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2024/12/31/tan20241231t042918c00s4001-A/tan20241231t042918c00s4001-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/12/31/tan20241231t042918c00s4001-A/tan20241231t042918c00s4001-A_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/12/31/tan20241231t042918c00s4001-A/tan20241231t042918c00s4001-A_l3a-vis-ch4-mfa-v3_rgb.png
emi20240223t052749p04022-A,16.92078112889459,96.18379081294472,2024-02-23T05:27:49+00,Solid Waste (6A),CH4,mfa,"[96.14366521688532, 16.894824945672603, 96.20754050960466, 16.956464750341336]",emi,production,2025-01-14 21:19:20.341698+00:00,2025-03-25 22:46:03.057706+00:00,v3,3.18.1,,,,239.05161072289113,117.34968547296032,0.6481481481481481,0.2446267558078315,142.62192213463456,14.88006394625923,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/02/23/emi20240223t052749p04022-A/emi20240223t052749p04022-A_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/02/23/emi20240223t052749p04022-A/emi20240223t052749p04022-A_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2024/02/23/emi20240223t052749p04022-A/emi20240223t052749p04022-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/02/23/emi20240223t052749p04022-A/emi20240223t052749p04022-A_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/02/23/emi20240223t052749p04022-A/emi20240223t052749p04022-A_l3a-vis-ch4-mfa-v3_rgb.png
emi20240123t073426p05002-A,16.89658302193746,96.0217399229836,2024-01-23T07:34:26+00,Solid Waste (6A),CH4,mfa,"[95.99068564510684, 16.862731340945174, 96.05434936273465, 16.924177469231463]",emi,production,2025-05-30 13:09:27.717482+00:00,2025-05-30 13:09:27.861399+00:00,v3,3.6.3,,,,,,1.6666666666666667,0.3934912844606626,344.94907254893695,18.1319111211881,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/01/23/emi20240123t073426p05002-A/emi20240123t073426p05002-A_l3a-vis-ch4-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/01/23/emi20240123t073426p05002-A/emi20240123t073426p05002-A_l3a-vis-ch4-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2024/01/23/emi20240123t073426p05002-A/emi20240123t073426p05002-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/01/23/emi20240123t073426p05002-A/emi20240123t073426p05002-A_l3a-vis-ch4-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v3/2024/01/23/emi20240123t073426p05002-A/emi20240123t073426p05002-A_l3a-vis-ch4-mfa-v3_rgb.png
emi20230301t033102p02009-A,16.6794998105765,98.46710222750112,2023-03-01T03:31:02+00,Solid Waste (6A),CH4,mfa,"[98.43493755683241, 16.650161665323882, 98.49810853139535, 16.710674443017563]",emi,production,2023-06-20 21:16:17.548478+00:00,2025-03-25 23:03:21.659017+00:00,v3,3.18.1,,,,,,0.9166666666666666,0.3402069087198858,319.9996952201138,2.1604388616365844,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/03/01/emi20230301t033102p02009-A/emi20230301t033102p02009-A_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/03/01/emi20230301t033102p02009-A/emi20230301t033102p02009-A_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v3/2023/03/01/emi20230301t033102p02009-A/emi20230301t033102p02009-A_l3a-ime-ch4-mfa-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/03/01/emi20230301t033102p02009-A/emi20230301t033102p02009-A_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/03/01/emi20230301t033102p02009-A/emi20230301t033102p02009-A_l3a-vis-ch4-mfa-v002_rgb.png
